Model,Total_Files,Avg_Calls_per_File,Avg_Prompt_Tokens_per_Call,Avg_Output_Tokens_per_Call,Avg_Reasoning_Tokens_per_Call
gpt41mini-,1000,1.74,1662.92,362.86,0.00
O4Mini-,1000,1.01,890.09,194.35,4702.67
local-,1000,1.67,1218.17,240.88,804.93
