Metric,Threshold,Comparison,Test,p-value,A12,file,p_value_BH
Completeness,no,Public-LADEX-LLM-NA vs Public-LADEX-ALG-LLM,Wilcoxon (Paired),0.008,0.3,Public-LADEX-LLM-NA-vs-Public-LADEX-ALG-LLM.csv,0.016
Correctness,no,Public-LADEX-LLM-NA vs Public-LADEX-ALG-LLM,Wilcoxon (Paired),6.00E-05,0.12,Public-LADEX-LLM-NA-vs-Public-LADEX-ALG-LLM.csv,0.00048
Completeness,no,Industry-LADEX-ALG-NA vs Industry-LADEX-ALG-LLM,Wilcoxon (Paired),0.7,0.55,Industry-LADEX-ALG-NA-vs-Industry-LADEX-ALG-LLM.csv,0.7
Correctness,no,Industry-LADEX-ALG-NA vs Industry-LADEX-ALG-LLM,Wilcoxon (Paired),0.32,0.6,Industry-LADEX-ALG-NA-vs-Industry-LADEX-ALG-LLM.csv,0.426666667
Completeness,no,Public-LADEX-LLM-NA vs Public-LADEX-LLM-LLM,Wilcoxon (Paired),0.01,0.65,Public-LADEX-LLM-NA-vs-Public-LADEX-LLM-LLM.csv,0.016
Correctness,no,Public-LADEX-LLM-NA vs Public-LADEX-LLM-LLM,Wilcoxon (Paired),0.68,0.56,Public-LADEX-LLM-NA-vs-Public-LADEX-LLM-LLM.csv,0.777142857
Completeness,no,Industry-LADEX-ALG-NA vs Industry-LADEX-LLM-LLM,Wilcoxon (Paired),0.01,0.82,Industry-LADEX-ALG-NA-vs-Industry-LADEX-LLM-LLM.csv,0.016
Correctness,no,Industry-LADEX-ALG-NA vs Industry-LADEX-LLM-LLM,Wilcoxon (Paired),0.002,0.97,Industry-LADEX-ALG-NA-vs-Industry-LADEX-LLM-LLM.csv,0.004
Completeness,no,Public-LADEX-ALG-NA vs Public-LADEX-ALG-LLM,Wilcoxon (Paired),0.08,0.42,Public-LADEX-ALG-NA-vs-Public-LADEX-ALG-LLM.csv,0.106666667
Correctness,no,Public-LADEX-ALG-NA vs Public-LADEX-ALG-LLM,Wilcoxon (Paired),0.002,0.34,Public-LADEX-ALG-NA-vs-Public-LADEX-ALG-LLM.csv,0.004
Completeness,no,Industry-LADEX-LLM-NA vs Industry-LADEX-LLM-LLM,Wilcoxon (Paired),0.32,0.42,Industry-LADEX-LLM-NA-vs-Industry-LADEX-LLM-LLM.csv,0.365714286
Correctness,no,Industry-LADEX-LLM-NA vs Industry-LADEX-LLM-LLM,Wilcoxon (Paired),0.92,0.53,Industry-LADEX-LLM-NA-vs-Industry-LADEX-LLM-LLM.csv,0.92
Completeness,no,Public-LADEX-ALG-NA vs Public-LADEX-LLM-LLM,Wilcoxon (Paired),0.0004,0.74,Public-LADEX-ALG-NA-vs-Public-LADEX-LLM-LLM.csv,0.0032
Correctness,no,Public-LADEX-ALG-NA vs Public-LADEX-LLM-LLM,Wilcoxon (Paired),0.001,0.78,Public-LADEX-ALG-NA-vs-Public-LADEX-LLM-LLM.csv,0.004
Completeness,no,Industry-LADEX-LLM-NA vs Industry-LADEX-ALG-LLM,Wilcoxon (Paired),0.002,0.25,Industry-LADEX-LLM-NA-vs-Industry-LADEX-ALG-LLM.csv,0.008
Correctness,no,Industry-LADEX-LLM-NA vs Industry-LADEX-ALG-LLM,Wilcoxon (Paired),0.01,0.26,Industry-LADEX-LLM-NA-vs-Industry-LADEX-ALG-LLM.csv,0.016
