Model,Total_Files,Avg_Calls_per_File,Avg_Prompt_Tokens_per_Call,Avg_Output_Tokens_per_Call,Avg_Reasoning_Tokens_per_Call
gpt41mini-,1000,3.40,1532.67,519.00,0.00
O4Mini-,1000,3.61,1237.45,267.89,3063.82
local-,1000,4.24,1146.34,206.83,918.10
