Metric,Threshold,Model,Industry-LADEX-ALG-NA,,,,,Average,Std Dev
,,,run1,run2,run3,run4,run5,,

METHOD: ,,,,,,,,,
Completeness,no,O4Mini,81.43,71.24,78.46,82.99,78.21,78.47,4.51
Correctness,no,O4Mini,90.11,83.23,90.02,76.89,86.04,85.26,5.5
Completeness,no,gpt41mini,71.51,76.72,77.02,72.62,75.18,74.61,2.46
Correctness,no,gpt41mini,78.01,75.69,84.25,83.30,80.44,80.34,3.57

METHOD: structural_constraints,,,,,,,,,
