Model,Total_Files,Avg_Calls_per_File,Avg_Prompt_Tokens_per_Call,Avg_Output_Tokens_per_Call,Avg_Reasoning_Tokens_per_Call
gpt41mini-,125,3.77,4003.06,825.39,0.00
O4Mini-,125,1.16,2251.48,708.17,7073.99
