Metric,Model,Industry-LADEX-LLM-NA run1,Industry-LADEX-LLM-NA run2,Industry-LADEX-LLM-NA run3,Industry-LADEX-LLM-NA run4,Industry-LADEX-LLM-NA run5,Average,Std Dev

METHOD: LLM Matcher,,,,,,,,
O4Mini-Completeness,O4Mini,91.65,89.59,89.33,88.39,94.76,90.74,2.54
O4Mini-Correctness,O4Mini,89.16,83.50,83.72,85.09,88.58,86.01,2.69
gpt41mini-Completeness,gpt41mini,24.84,37.60,35.91,57.39,30.41,37.23,12.33
gpt41mini-Correctness,gpt41mini,23.90,32.14,31.66,50.76,28.39,33.37,10.26
