Model,Total_diagrams,Diagrams_with_violation,Total_violations,C1,C2,C3,C4,C5,C6
gpt41mini-,1000,0,0,0,0,0,0,0,0
O4Mini-,1000,0,0,0,0,0,0,0,0
local-,1000,0,0,0,0,0,0,0,0
