Model,Total_Files,Avg_Calls_per_File,Avg_Prompt_Tokens_per_Call,Avg_Output_Tokens_per_Call,Avg_Reasoning_Tokens_per_Call
gpt41mini-,1000,6.43,1833.85,548.91,0.00
O4Mini-,1000,3.87,1238.70,270.16,4113.77
local-,1000,6.47,1258.91,216.58,834.52
