Metric,Threshold,Comparison,Test,p-value,A12,file,p_value_BH
Completeness,no,Industry-LADEX-ALG-LLM vs Industry-LADEX-LLM-LLM,Wilcoxon (Paired),0.004,0.82,Industry-LADEX-ALG-LLM-vs-Industry-LADEX-LLM-LLM.csv,0.008
Correctness,no,Industry-LADEX-ALG-LLM vs Industry-LADEX-LLM-LLM,Wilcoxon (Paired),0.002,0.96,Industry-LADEX-ALG-LLM-vs-Industry-LADEX-LLM-LLM.csv,0.004
Completeness,no,Public-LADEX-ALG-NA vs Public-LADEX-LLM-NA,Wilcoxon (Paired),0.008,0.69,Public-LADEX-ALG-NA-vs-Public-LADEX-LLM-NA.csv,0.01
Correctness,no,Public-LADEX-ALG-NA vs Public-LADEX-LLM-NA,Wilcoxon (Paired),0.003,0.79,Public-LADEX-ALG-NA-vs-Public-LADEX-LLM-NA.csv,0.004
Completeness,no,Industry-LADEX-ALG-NA vs Industry-LADEX-LLM-NA,Wilcoxon (Paired),0.01,0.79,Industry-LADEX-ALG-NA-vs-Industry-LADEX-LLM-NA.csv,0.01
Correctness,no,Industry-LADEX-ALG-NA vs Industry-LADEX-LLM-NA,Wilcoxon (Paired),0.01,0.76,Industry-LADEX-ALG-NA-vs-Industry-LADEX-LLM-NA.csv,0.01
Completeness,no,Public-LADEX-ALG-LLM vs Public-LADEX-LLM-LLM,Wilcoxon (Paired),0.0003,0.75,Public-LADEX-ALG-LLM-vs-Public-LADEX-LLM-LLM.csv,0.0012
Correctness,no,Public-LADEX-ALG-LLM vs Public-LADEX-LLM-LLM,Wilcoxon (Paired),6.00E-05,0.86,Public-LADEX-ALG-LLM-vs-Public-LADEX-LLM-LLM.csv,0.00024
