Model,Total_diagrams,Diagrams_with_violation,Total_violations,C1,C2,C3,C4,C5,C6
gpt41mini-,1000,129,143,3,1,1,14,100,24
O4Mini-,1000,2,4,1,0,1,1,0,1
local-,1000,176,249,30,22,1,31,100,65
