Model,Total_Files,Avg_Calls_per_File,Avg_Prompt_Tokens_per_Call,Avg_Output_Tokens_per_Call,Avg_Reasoning_Tokens_per_Call
gpt41mini-,1000,3.52,1240.35,529.49,0.00
O4Mini-,1000,3.22,1000.40,270.72,3818.95
local-,1000,9.21,1137.58,250.40,1137.76
