Metric,Threshold,Comparison,Test,p-value,A12
Completeness,no,Public-LADEX-ALG-NA vs Public-Baseline,Wilcoxon (Paired),0.0003,0.76
Correctness,no,Public-LADEX-ALG-NA vs Public-Baseline,Wilcoxon (Paired),6e-05,0.89
