file,accept1,accept2,coverage_1_to_2,coverage_2_to_1,total1,total2,unmatched_nodes_chart1,unmatched_nodes_chart2
5.txt,20,19,0.8333333333333334,1.0,24,19,4,1
803.txt,4,3,1.0,1.0,4,3,0,0
618.txt,13,8,0.8125,1.0,16,8,3,0
368.txt,4,4,0.8,1.0,5,4,1,0
427.txt,8,8,0.34782608695652173,1.0,23,8,15,0
341.txt,15,14,0.8823529411764706,0.8235294117647058,17,17,2,3
95.txt,15,15,0.7142857142857143,0.9375,21,16,6,1
631.txt,5,4,0.7142857142857143,0.8,7,5,2,1
962.txt,20,19,0.8,0.95,25,20,5,1
584.txt,9,7,0.75,1.0,12,7,3,0
1010.txt,11,7,0.7857142857142857,1.0,14,7,3,0
551.txt,10,8,0.8333333333333334,1.0,12,8,2,0
948.txt,20,28,1.0,0.9032258064516129,20,31,0,3
753.txt,9,9,0.9,0.9,10,10,1,1
141.txt,7,6,1.0,1.0,7,6,0,0
394.txt,20,19,0.6896551724137931,0.95,29,20,9,1
343.txt,4,5,0.6666666666666666,1.0,6,5,2,0
395.txt,8,8,1.0,1.0,8,8,0,0
96.txt,17,12,1.0,1.0,17,12,0,0
41.txt,15,18,0.8823529411764706,1.0,17,18,2,0
236.txt,5,5,1.0,1.0,5,5,0,0
550.txt,9,9,0.5625,1.0,16,9,7,0
597.txt,10,9,0.9090909090909091,1.0,11,9,1,0
232.txt,9,10,1.0,1.0,9,10,0,0
971.txt,8,6,0.8888888888888888,1.0,9,6,1,0
51.txt,16,14,0.9411764705882353,1.0,17,14,1,0
811.txt,30,44,1.0,1.0,30,44,0,0
839.txt,7,6,0.6363636363636364,1.0,11,6,4,0
144.txt,17,17,1.0,1.0,17,17,0,0
636.txt,9,6,1.0,0.8571428571428571,9,7,0,1
1188.txt,18,16,0.8181818181818182,0.9411764705882353,22,17,4,1
347.txt,3,3,0.75,1.0,4,3,1,0
637.txt,16,13,0.5161290322580645,1.0,31,13,15,0
151.txt,6,5,1.0,1.0,6,5,0,0
623.txt,17,17,0.85,0.8947368421052632,20,19,3,2
186.txt,11,11,0.7333333333333333,1.0,15,11,4,0
233.txt,2,3,1.0,1.0,2,3,0,0
1028.txt,9,11,0.8181818181818182,1.0,11,11,2,1
543.txt,5,6,0.8333333333333334,0.75,6,8,1,2
796.txt,6,4,0.6666666666666666,0.8,9,5,3,1
999.txt,16,11,0.9411764705882353,1.0,17,11,1,0
153.txt,3,3,1.0,1.0,3,3,0,0
