Metric,Threshold,Model,Industry-LADEX-LLM-LLM,,,,,Average,Std Dev
,,,run1,run2,run3,run4,run5,,

METHOD: ,,,,,,,,,
Completeness,no,O4Mini,57.76,84.04,79.06,70.00,60.09,70.19,11.48
Correctness,no,O4Mini,64.72,73.01,79.04,71.13,61.76,69.93,6.85
Completeness,no,gpt41mini,45.43,43.60,47.48,42.56,58.67,47.55,6.49
Correctness,no,gpt41mini,42.02,41.55,49.80,42.05,56.61,46.41,6.66

METHOD: structural_constraints,,,,,,,,,
