Model,Total_diagrams,Diagrams_with_violation,Total_violations,C1,C2,C3,C4,C5,C6
gpt41mini-,1000,235,260,9,1,2,19,218,11
O4Mini-,1000,12,12,0,0,0,0,12,0
local-,1000,233,300,24,20,0,32,184,40
