Model,Total_Files,Avg_Calls_per_File,Avg_Prompt_Tokens_per_Call,Avg_Output_Tokens_per_Call,Avg_Reasoning_Tokens_per_Call
gpt41mini-,1000,1.00,882.42,240.74,0.00
O4Mini-,1000,1.00,881.42,194.98,3921.60
local-,1000,1.00,873.90,197.43,985.69
