file,C1,C1_violating_nodes,C2,C2_violating_nodes,C3,C3_violating_nodes,C4,C4_violating_nodes,C5,C5_violating_nodes,C6,C6_violating_nodes,error
584.txt,True,,True,,True,,True,,True,,True,,
1010.txt,True,,True,,True,,True,,True,,True,,
551.txt,True,,True,,True,,True,,True,,True,,
948.txt,True,,True,,True,,True,,True,,True,,
753.txt,True,,True,,True,,True,,False,"4, 5",True,,
141.txt,True,,True,,True,,True,,True,,True,,
394.txt,True,,True,,True,,True,,True,,True,,
343.txt,True,,True,,True,,True,,True,,True,,
395.txt,True,,True,,True,,True,,True,,True,,
96.txt,True,,True,,True,,False,8,True,,True,,
41.txt,True,,True,,True,,True,,True,,True,,
236.txt,True,,True,,True,,True,,True,,True,,
550.txt,True,,True,,True,,True,,True,,True,,
597.txt,True,,True,,True,,True,,True,,True,,
232.txt,True,,True,,True,,True,,True,,True,,
971.txt,True,,True,,True,,True,,False,2,False,"7, 6, 3, 4, 2, 5",
51.txt,True,,True,,True,,True,,True,,True,,
811.txt,True,,True,,True,,True,,True,,True,,
839.txt,True,,True,,True,,True,,True,,True,,
144.txt,True,,True,,True,,True,,True,,True,,
636.txt,True,,True,,True,,True,,True,,True,,
1188.txt,True,,False,,True,,True,,False,4,True,,
347.txt,True,,True,,True,,True,,True,,True,,
637.txt,True,,True,,True,,True,,True,,True,,
151.txt,True,,True,,True,,True,,True,,True,,
623.txt,True,,True,,True,,True,,False,9,True,,
186.txt,True,,True,,True,,True,,True,,True,,
233.txt,True,,True,,True,,True,,True,,True,,
1028.txt,True,,True,,True,,True,,True,,True,,
543.txt,True,,True,,True,,True,,True,,True,,
796.txt,True,,True,,True,,True,,True,,True,,
999.txt,True,,True,,True,,True,,True,,True,,
153.txt,True,,True,,True,,True,,True,,True,,
351.txt,True,,True,,True,,True,,True,,True,,
344.txt,True,,True,,True,,True,,False,5,True,,
350.txt,True,,True,,True,,True,,True,,True,,
191.txt,True,,True,,True,,True,,True,,True,,
1.txt,True,,True,,True,,True,,False,15,True,,
1203.txt,True,,True,,True,,True,,True,,True,,
595.txt,True,,True,,True,,True,,True,,False,13,
1015.txt,True,,True,,True,,True,,True,,True,,
280.txt,True,,True,,True,,True,,True,,True,,
848.txt,True,,True,,True,,True,,True,,True,,
860.txt,True,,True,,True,,True,,True,,True,,
653.txt,True,,True,,True,,True,,True,,True,,
322.txt,True,,True,,True,,True,,True,,True,,
861.txt,True,,True,,True,,True,,True,,True,,
849.txt,True,,True,,True,,True,,True,,True,,
901.txt,True,,True,,True,,True,,True,,True,,
929.txt,True,,True,,True,,True,,True,,True,,
530.txt,True,,True,,True,,True,,True,,True,,
1067.txt,True,,True,,True,,True,,True,,True,,
1073.txt,True,,True,,True,,True,,True,,True,,
268.txt,True,,True,,True,,True,,True,,True,,
23.txt,True,,True,,True,,True,,True,,True,,
136.txt,True,,True,,True,,True,,True,,True,,
1139.txt,False,,True,,True,,True,,True,,False,"7, 1, 8, 6, 3, 4, 2, 9, 5",
902.txt,True,,True,,True,,True,,True,,True,,
916.txt,True,,True,,True,,True,,False,6,True,,
269.txt,True,,True,,True,,True,,True,,True,,
241.txt,True,,True,,True,,True,,True,,True,,
282.txt,True,,True,,True,,True,,True,,True,,
1070.txt,True,,True,,True,,True,,True,,True,,
251.txt,True,,True,,True,,True,,True,,True,,
682.txt,True,,True,,True,,True,,True,,True,,
127.txt,True,,True,,True,,True,,True,,True,,
480.txt,True,,False,,True,,True,,False,7,False,6,
126.txt,True,,True,,True,,True,,True,,True,,
27.txt,True,,True,,True,,True,,True,,True,,
278.txt,True,,True,,True,,True,,True,,True,,
1061.txt,True,,True,,True,,True,,True,,True,,
1049.txt,True,,True,,True,,True,,True,,True,,
1088.txt,True,,True,,True,,True,,True,,True,,
31.txt,True,,True,,True,,False,"12, 13",True,,True,,
19.txt,True,,True,,True,,True,,True,,True,,
326.txt,True,,True,,True,,True,,True,,True,,
1102.txt,True,,True,,True,,True,,True,,True,,
643.txt,True,,True,,True,,True,,False,6,False,"9, 10, 8, 11",
24.txt,True,,True,,True,,True,,True,,True,,
253.txt,True,,True,,True,,True,,True,,True,,
247.txt,True,,True,,True,,True,,True,,True,,
509.txt,True,,True,,True,,True,,False,3,True,,
