Metric,Threshold,Model,Industry-Baseline,,,,,Average,Std Dev
,,,run1,run2,run3,run4,run5,,

METHOD: ,,,,,,,,,
Completeness,no,O4Mini,66.09,69.16,72.63,70.68,64.39,68.59,3.35
Correctness,no,O4Mini,72.07,78.68,77.70,75.92,72.65,75.4,2.96
Completeness,no,gpt41mini,40.32,34.64,45.42,50.48,26.10,39.39,9.48
Correctness,no,gpt41mini,39.08,34.95,47.48,47.18,27.38,39.21,8.52

METHOD: structural_constraints,,,,,,,,,
